gene	alias	category	priority	role	checkpoint	category_orig	priority_orig	notes	checkpoint2	category2
TGFB1I1	NA	TGFB	NA	NA		TGFBpathway	NA		NA	NA
TGFB2	NA	TGFB	NA	NA		TGFBpathway	NA		NA	NA
TGFB3	NA	TGFB	NA	NA		TGFBpathway	NA		NA	NA
TGFBI	NA	TGFB	NA	NA		TGFBpathway	NA		NA	NA
TGFBR1	NA	TGFB	NA	NA		TGFBpathway	NA		NA	NA
TGFBR2	NA	TGFB	NA	NA		TGFBpathway	NA		NA	NA
TGFBR3	NA	TGFB	NA	NA		TGFBpathway	NA		NA	NA
TGFBR3L	NA	TGFB	NA	NA		TGFBpathway	NA		NA	NA
TGFBRAP1	NA	TGFB	NA	NA		TGFBpathway	NA		NA	NA
TIGIT	VSIG9	Tcellresponse	NA	Receptor	Inhibitory	Tcellresponse	NA		Inhibitory	Receptor
TLR4	CD284	Toll-LikeReceptor	NA	Receptor	Stimulatory	Toll-LikeReceptor	NA		Stimulatory	Receptor
TMEM173	STING	STING	NA	NA		STING	NA		NA	NA
TNFRSF18	GITR	CostimulatoryR	NA	Receptor	Stimulatory	CostimulatoryR.	NA		Stimulatory	Receptor
TNFRSF4	OX40	CostimulatoryR	NA	Receptor	Stimulatory	CostimulatoryR.	NA		Stimulatory	Receptor
TNFRSF9	4-1BB	CostimulatoryR	NA	Receptor	Stimulatory	CostimulatoryR.	NA		Stimulatory	Receptor
