gene	alias	category	plot_cat	priority	role	checkpoint	category_orig	priority_orig	notes	checkpoint2	category3	role_orig
ANPEP	CD13	Metalloprotease	Metalloprotease	NA	NA		Metalloprotease	NA		NA	NA	NA
IL2	IL2	NA	NA	NA	NA		NA	NA		NA	NA	NA
PTPRC	CD45	Panimmune	Panimmune	NA	NA		Panimmune	NA		NA	NA	NA
IL3RA	CD123	pDC	pDC	NA	NA		IL-3R.	NA		NA	NA	NA
MKI67	Ki-67	Proliferation	Proliferation	NA	NA		Proliferationmarker	NA		NA	NA	NA
SIGLEC1	CD169	Sialoadhesin	Sialoadhesin	NA	NA		Sialoadhesin	NA		NA	NA	NA
TMEM173	STING	STING	STING	NA	NA		STING	NA		NA	NA	NA
TGFB1	NA	TGFB	TGFB	NA	NA		TGFBpathway	NA		NA	NA	NA
TGFB1I1	NA	TGFB	TGFB	NA	NA		TGFBpathway	NA		NA	NA	NA
TGFB2	NA	TGFB	TGFB	NA	NA		TGFBpathway	NA		NA	NA	NA
TGFB3	NA	TGFB	TGFB	NA	NA		TGFBpathway	NA		NA	NA	NA
TGFBI	NA	TGFB	TGFB	NA	NA		TGFBpathway	NA		NA	NA	NA
TGFBR1	NA	TGFB	TGFB	NA	NA		TGFBpathway	NA		NA	NA	NA
TGFBR2	NA	TGFB	TGFB	NA	NA		TGFBpathway	NA		NA	NA	NA
TGFBR3	NA	TGFB	TGFB	NA	NA		TGFBpathway	NA		NA	NA	NA
TGFBR3L	NA	TGFB	TGFB	NA	NA		TGFBpathway	NA		NA	NA	NA
TGFBRAP1	NA	TGFB	TGFB	NA	NA		TGFBpathway	NA		NA	NA	NA
TFRC	CD71	TransferrinR	TransferrinR	NA	NA		TransferrinR.	NA		NA	NA	NA
IDO2	INDOL1	Tryptophan	Tryptophan	NA	NA		Tryptophanmetabolism	NA		NA	NA	NA
NRP1	CD304	VEGFco-R	VEGFco-R	NA	NA		VEGFco-R.	NA		NA	NA	NA
ARG1	ARG1	Arginase1	Other	NA	Other	Inhibitory	Arginase1	NA		Inhibitory	Other	Other
CD40	CD40	Costimulator	Other	B	Other	Stimulatory	CostimulatoryR.	B		Stimulatory	Other	Other
ALCAM	CD166	Glycoprotein	Other	B	Other	Other	Glycoprotein	B		Other	Other	Other
CD82	CD82	Glycoprotein	Other	B	Other	Other	Glycoprotein	B		NA	Other	Other
CD163	CD163	HighaffinityS.R	Other	B	Other	Other	HighaffinityS.R.	B	Macrophage	NA	Other	Other
FCGR2A	CD32	Ig	Ig	B	Other	Other	LowaffinityFCGR2a	B		NA	Other	Other
FCGR3A	CD16	Ig	Ig	B	Other	Other	LowaffinityFCGR3a	B		NA	Other	Other
CD68	CD68	Macrophage	Macrophage	B	Other	Other	Macrophage	B	Macrophage	NA	Other	Other
CD44	CD44	Memory	Memory	B	Other	Other	EffectorMemoryTcell	B		NA	Other	Other
BCL6	BCL-6	Memory	Memory	B	Other	Other	ImmuneModulator/Memory	B		NA	Other	Other
GZMB	NA	Tcell	Tcell	NA	Other	Stimulatory	Tcell	NA		Stimulatory	Other	Other
PRF1	NA	Tcell	Tcell	NA	Other	Stimulatory	Tcell	NA		Stimulatory	Other	Other
CD81	CD81	Tetraspanin	Tetraspanin	B	Other	Other	Tetraspanin	B		NA	Other	Other
FAS	CD95	TNF	TNF	B	Other	Other	NA	B		NA	Other	Other
FOXP3	FOXP3	TReg	TReg	A	Other	Inhibitory	TRegmasterregulator	A		Inhibitory	Other	Other
IDO1	IDO	Tryptophan	Tryptophan	NA	Other	Inhibitory	Tryptophanmetabolism	NA		Inhibitory	Other	Other
ADORA2A	A2aR	Adenosine	Adenosine	NA	Receptor	Inhibitory	Adenosinepathway	NA		Inhibitory	Receptor	Receptor
NT5E	CD73	Adenosine	Adenosine	NA	Receptor	Inhibitory	Adenosinepathway	NA		Inhibitory	Receptor	Receptor
CD274	PD-L1	Coinhibitor	Coinhibitor	D	Receptor	Inhibitory	Coinhibitoryligand	NA		Inhibitory	Receptor	Receptor
CTLA4	CTLA-4	Coinhibitor	Coinhibitor	NA	Receptor	Inhibitory	CoinhibitoryR.	NA		Inhibitory	Receptor	Receptor
HAVCR2	TIM-3	Coinhibitor	Coinhibitor	NA	Receptor	Inhibitory	CoinhibitoryR.	NA		Inhibitory	Receptor	Receptor
LAG3	LAG-3	Coinhibitor	Coinhibitor	NA	Receptor	Inhibitory	CoinhibitoryR.	NA		Inhibitory	Receptor	Receptor
PDCD1	PD-1	Coinhibitor	Coinhibitor	NA	Receptor	Inhibitory	CoinhibitoryR.	NA		Inhibitory	Receptor	Receptor
TIGIT	VSIG9	Coinhibitory	Coinhibitor	D	Receptor	Inhibitory	Tcellresponse	NA		Inhibitory	Receptor	Receptor
CD28	CD28	Costimulator	Costimulator	NA	Receptor	Stimulatory	CostimulatoryR.	NA		Stimulatory	Receptor	Receptor
CD7	CD7	Costimulator	Costimulator	NA	Receptor	Stimulatory	CostimulatoryR.	NA		Stimulatory	Receptor	Receptor
ICOS	ICOS	Costimulator	Costimulator	NA	Receptor	Stimulatory	CostimulatoryR.	NA		Stimulatory	Receptor	Receptor
TNFRSF18	GITR	Costimulator	Costimulator	NA	Receptor	Stimulatory	CostimulatoryR.	NA		Stimulatory	Receptor	Receptor
TNFRSF4	OX40	Costimulator	Costimulator	NA	Receptor	Stimulatory	CostimulatoryR.	NA		Stimulatory	Receptor	Receptor
TNFRSF9	4-1BB	Costimulator	Costimulator	NA	Receptor	Stimulatory	CostimulatoryR.	NA		Stimulatory	Receptor	Receptor
IL2RA	CD25	IL-2R	Receptor	NA	Receptor	Stimulatory	IL-2R.	NA		Stimulatory	Receptor	Receptor
CD3E	CD3	TCRco-R	Receptor	D	Receptor	Other	Tcells	D		NA	Receptor	Receptor
CD4	CD4	TCRco-R	Receptor	A	Receptor	Other	TCR	A		NA	Receptor	Receptor
CD8A	CD8	TCRco-R	Receptor	A	Receptor	Other	CD8Tcells	A		NA	Receptor	Receptor
TLR4	CD284	TLR	Receptor	NA	Receptor	Stimulatory	Toll-LikeReceptor	NA		Stimulatory	Receptor	Receptor
